absolute_path,relative_path
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000001.jpg,000001.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000002.jpg,000002.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000003.jpg,000003.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000004.jpg,000004.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000005.jpg,000005.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000006.jpg,000006.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000007.jpg,000007.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000008.jpg,000008.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000009.jpg,000009.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000010.jpg,000010.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000011.jpg,000011.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000012.jpg,000012.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000013.jpg,000013.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000014.jpg,000014.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000015.jpg,000015.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000016.jpg,000016.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000017.jpg,000017.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000018.jpg,000018.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000019.jpg,000019.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000020.jpg,000020.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000021.jpg,000021.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000022.jpg,000022.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000023.jpg,000023.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000024.jpg,000024.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000025.png,000025.png
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000026.jpg,000026.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000027.jpg,000027.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000028.jpg,000028.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000029.jpg,000029.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000030.jpg,000030.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000031.jpg,000031.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000032.jpg,000032.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000033.jpg,000033.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000034.jpg,000034.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000035.jpg,000035.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000036.jpg,000036.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000037.jpg,000037.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000038.png,000038.png
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000039.jpg,000039.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000040.jpg,000040.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000041.jpg,000041.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000042.jpg,000042.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000043.jpg,000043.jpg
C:\Users\Евгения\PycharmProjects\application-programming-labs-2025\lab2\data\red_birds\000044.jpg,000044.jpg
